partido_id,resultado_final_local,resultado_final_visitante,tiros_local,tiros_visitante,tiros_apuerta_local,tiros_apuerta_visitante,posesion_local,posesion_visitante,corners_local,corners_visitante
1037952,0,2,19,10,5,4,60,40,8,3
1037956,1,2,9,10,3,3,55,45,8,1
1037960,1,1,15,6,2,1,48,52,4,1
1037957,1,1,5,12,2,2,69,31,3,6
1037953,0,2,7,14,1,8,46,54,7,5
1037955,0,2,11,11,1,5,52,48,7,2
1037959,1,2,18,12,5,5,63,37,9,4
1037958,0,0,5,14,2,4,25,75,3,4
1037961,1,0,12,10,3,2,44,56,2,4
1037954,3,1,14,7,6,4,45,55,3,3
1037964,0,1,8,15,1,3,40,60,6,5
1037971,1,0,9,7,4,1,39,61,6,4
1037969,1,1,11,17,2,6,52,48,9,7
1037962,1,3,20,25,8,9,43,57,4,5
1037977,0,7,12,17,3,10,56,44,8,3
1037985,3,1,18,7,4,3,42,58,7,3
1037982,2,3,16,14,5,8,63,37,6,5
1037991,5,3,15,8,6,5,62,38,2,5
1037990,2,1,26,6,12,2,76,24,11,1
1037987,1,0,7,9,1,4,39,61,1,2
1037984,1,0,14,15,5,6,56,44,2,3
1037986,1,0,11,10,6,5,46,54,3,5
1037988,0,0,8,11,2,3,33,67,3,5
1037989,1,2,11,9,3,4,30,70,8,5
1038018,1,2,14,17,3,5,53,47,5,6
1038020,2,0,21,16,9,2,47,53,7,2
1038019,0,1,9,2,2,1,37,63,0,2
1038013,0,0,9,9,2,4,52,48,1,2
1038021,1,1,8,21,0,11,46,54,2,8
1038017,1,1,18,13,7,3,39,61,5,7
1038015,0,2,13,5,2,3,54,46,7,2
1038024,1,0,18,12,4,3,59,41,13,3
1038026,0,0,22,3,9,0,65,35,6,4
1038031,2,2,19,9,5,4,61,39,5,0
1038046,1,1,13,13,3,3,45,55,4,8
1038049,1,1,17,14,7,5,49,51,4,6
1038045,0,3,16,12,3,7,36,64,7,5
1038042,0,1,12,12,6,4,61,39,10,5
1038043,5,2,19,9,8,5,67,33,9,6
1038051,1,1,12,16,3,7,68,32,9,3
1038044,1,0,12,10,7,3,62,38,4,7
1038047,2,0,12,5,4,4,62,38,4,5
1038059,1,0,12,4,2,2,66,34,10,1
1038052,1,2,10,10,4,3,40,60,3,2
1038080,1,1,11,6,3,1,46,54,8,3
1038075,5,1,16,10,7,4,56,44,4,4
1038081,2,1,11,8,6,1,72,28,2,1
1038076,1,1,13,14,4,6,61,39,9,5
1038074,3,1,25,11,10,7,50,50,6,3
1038086,3,1,8,11,5,4,43,57,6,2
1038089,1,1,10,15,4,4,33,67,1,4
1038090,0,0,8,13,0,1,55,45,5,7
1038087,2,1,18,13,5,4,54,46,3,6
1038082,1,0,20,8,3,1,68,32,7,3
1038111,0,3,20,16,4,5,52,48,5,3
1038106,1,0,6,19,3,5,34,66,4,12
1038108,2,1,13,19,4,6,57,43,3,15
1038104,1,1,12,13,5,5,44,56,2,4
1038102,2,4,31,15,11,7,53,47,8,3
1038109,1,1,7,19,3,4,48,52,1,8
1038110,0,0,18,4,4,2,63,37,8,1
1038115,1,0,10,9,4,3,61,39,9,1
1038114,1,0,11,7,4,2,39,61,7,1
1038113,2,0,16,7,7,3,38,62,3,7
1038140,1,0,17,7,5,0,67,33,5,4
1038136,4,3,17,18,9,12,51,49,7,8
1038134,1,0,14,4,2,0,52,48,5,4
1038135,0,2,11,15,2,6,61,39,5,4
1038137,1,2,12,15,3,5,45,55,5,10
1038151,2,3,19,16,4,8,68,32,5,4
1038149,3,0,8,17,3,3,56,44,4,6
1038150,1,1,17,6,6,2,56,44,10,1
1038143,2,1,10,9,3,1,49,51,5,5
1038146,1,0,25,6,6,2,57,43,13,1
1038167,0,0,9,8,2,0,42,58,6,8
1038169,1,1,10,11,5,4,44,56,2,4
1038162,2,0,12,10,8,3,54,46,3,6
1038165,2,0,7,16,4,3,39,61,4,3
1038145,1,0,16,9,4,1,68,32,6,6
1038144,2,1,8,10,3,2,54,46,5,6
1038148,0,2,10,16,2,9,42,58,2,6
1038172,4,0,13,6,6,2,62,38,6,2
1038178,2,1,7,15,2,5,48,52,0,6
1038176,1,1,3,16,1,6,22,78,2,9
1038195,1,1,8,11,3,4,40,60,4,10
1038196,1,1,19,13,7,3,59,41,10,4
1038194,1,2,4,19,1,5,32,68,3,9
1038201,0,0,13,13,2,4,62,38,6,8
1038192,3,2,14,12,7,6,31,69,3,4
1038207,1,3,21,6,8,4,70,30,13,2
1038203,4,0,17,10,9,4,68,32,5,8
1038210,1,1,9,15,1,8,52,48,3,3
1038202,2,2,9,18,4,9,40,60,2,7
1038204,2,2,19,7,6,3,66,34,9,1
1038222,2,2,14,19,4,6,43,57,1,8
1038237,2,0,14,13,6,2,64,36,8,2
1038240,1,0,18,8,8,3,51,49,10,2
1038234,2,4,10,17,4,9,37,63,5,7
1038233,1,0,11,13,3,3,41,59,2,5
1038241,2,0,16,7,4,3,60,40,5,4
1038238,1,2,11,18,4,5,35,65,3,8
1038239,1,0,13,14,7,7,53,47,5,2
1038235,0,1,21,3,6,2,66,34,11,3
1038236,2,0,8,11,4,1,39,61,4,8
1038261,2,0,9,8,3,3,39,61,1,5
1038252,1,1,13,10,6,2,53,47,3,1
1038258,2,2,17,7,4,3,50,50,5,1
1038256,0,1,13,4,2,3,65,35,4,1
1038263,1,1,17,5,6,0,67,33,11,4
1038264,4,1,21,9,13,4,32,68,8,4
1038271,2,1,17,6,6,2,64,36,5,1
1038268,1,2,8,12,5,6,54,46,7,6
1038269,4,1,10,12,5,5,57,43,2,4
1038265,1,1,6,7,3,3,40,60,0,4
1037967,0,2,18,8,7,2,62,38,5,3
1037970,3,0,7,9,6,2,65,35,3,2
1037963,2,0,24,10,10,1,75,25,10,2
1037968,0,0,14,5,0,1,53,47,2,7
1037966,4,3,14,12,7,2,33,67,4,4
1037965,0,2,14,17,7,9,49,51,5,6
